DIST,TYPE,O_CLOCK,J_NO,J_LEN,WT_ASS,WT_CALC,OD,MAOP,DESP,SMYS,SUTS,WJF,F_PLOT,F_REF,F_INST,F_MARK,F_WELD,F_CALC,COMMENT,R_THRESH,PHHAVG,JNL,VEL_MIN,VEL_MAX,TEM_MIN,TEM_MAX,TOP_MIN,TOP_MAX,WELDCHAN,WELDTYP,WELDPOS,WELDGRAD,LS_POS,LS_Q,LS_HITS,SP_POS,SP_GRAD,SP_SIGNO,SP_HITS,ID,SECAVG,B_ANGLE,B_DIR,B_RADIUS,I_LEN,DID,ADD_COMM,PREV_J_NO,TYPE_ORG,_NullFlags
19.662603513982226,WELD,10:26,110,3.4613964860177724,8.73,9.216768042757524,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,,2,23.093901235327746,1.240497165553873,5,5,341,343,231,234,0,longseam,56.9688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fad12436-6639-459d-bd07-d5f99219e4e3,0.0,0.0,0.0,0.0,0.0,0.0,,60,GirthWeld,b'0'
22.018,MARK-MGNT,12:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,from previous inspection,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eaffdeb2-4930-422b-9a64-2e38d7ebbac5,0.0,0.0,0.0,0.0,0.0,0.0,,,Magnet,b'p'
23.124,WELD,08:20,120,12.434000000000001,8.73,9.04248709430915,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,,2,23.573512231496284,1.6569595708154579,5,6,341,344,228,233,0,longseam,119.84662576687117,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,ffc79fb7-b5c8-4cce-9063-5398cccdd5ff,0.0,0.0,0.0,0.0,0.0,0.0,,70,GirthWeld,b'0'
35.558,WELD-BENB,--:--,130,3.642000000000003,8.73,15.638830886429714,609.6,6.0,9.0,358.0,455.0,0.0,False,False,True,False,True,True,,4,10.52075571076791,2.927295127174306,5,6,344,344,226,228,0,,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,76b471e0-98b3-40b3-8f7d-68ba515d89f4,0.0,0.0,0.0,0.0,0.0,0.0,,80,AS_Bend,b'0'
39.2,WELD-BENE,--:--,140,1.8840000000000003,8.73,9.296139859341256,609.6,6.0,9.0,358.0,455.0,0.0,False,False,True,False,True,True,SR,2,22.88468835916282,1.3835339815608518,5,6,344,344,226,227,0,,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,8186ab9f-6f96-4b69-a82e-e842d5cbbf9d,0.0,0.0,0.0,0.0,0.0,0.0,,90,AE_Bend,b'0'
41.084,WELD,--:--,150,10.473999999999997,8.73,9.042925018833534,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,ER,2,23.571950137808727,0.5463129978332796,5,6,344,345,222,226,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79424f42-10f0-4840-8be6-8a70c7dfa580,0.0,0.0,0.0,0.0,0.0,0.0,,100,GirthWeld,b'0'
51.558,WELD,02:41,160,12.511999999999993,8.73,8.878121619943952,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,,2,24.031885866314276,0.5305196492820127,5,6,344,346,219,224,0,longseam,289.2751196172249,0.0,306.5,0.0,0.0,0.0,0.0,0.0,0.0,678e2941-2773-4af9-99b8-620f4ac445ff,0.0,0.0,0.0,0.0,0.0,0.0,,110,GirthWeld,b'0'
64.07,WELD,08:20,170,12.426000000000002,8.73,8.839748249256258,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,,2,24.140036924477577,0.594189253488445,5,6,345,347,209,220,0,longseam,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4853f445-209b-4ced-9a58-cabc1b9a9ed9,0.0,0.0,0.0,0.0,0.0,0.0,,120,GirthWeld,b'0'
76.496,WELD,--:--,180,12.337000000000003,8.73,8.84494437152537,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,,2,24.12484297435856,0.6707901637654677,5,6,346,348,207,213,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a0170174-17e3-408a-b2b8-fb772438daa0,0.0,0.0,0.0,0.0,0.0,0.0,,130,GirthWeld,b'0'
88.833,WELD,--:--,190,8.466000000000008,8.73,9.426241511401908,609.6,6.0,9.0,358.0,455.0,0.0,False,False,False,False,True,True,,2,22.521102155954217,0.5817222236399877,5,6,347,348,205,207,0,,0.0,0.0,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0203812b-86dc-420f-a1ba-f0c8258e95f2,0.0,0.0,0.0,0.0,0.0,0.0,,140,GirthWeld,b'0'
